PRODUCTNAME;DESCRIPTION;IMGURL;PRICE;CODE;SLEVA;KATEGORIE;PARAMETRY;AKCE;DOPORUCUJEME;DAREK;MATERIAL;DOSTUPNOST;STANDARD_PRICE;ROZMERY;BARVY
ratanové křeslo CARMONA;Ratanové křeslo CARMONA. Stabilní konstrukce křesla je vyrobena z ratanu a mahagonového dřeva. Obvodové plochy jsou tvořené výpletem z ratanového proutí, které vytváří žíhaný odstín ratanového křesla. .;/nabytek_doplnky/nahledy/s047b-carmona-kreslo--mahagon-ratan-obrazek1(2).jpg, /nabytek_doplnky/nahledy/s047b-carmona-kreslo--mahagon-ratan-obrazek2(1).jpg, /nabytek_doplnky/nahledy/s047-carmona-sedaci-souprava-mahagon-ratan--detail-obrazek1(1).jpg;2916.1;S047b;;ratanová křesla a ratanové pohovky;výška opěradla 100 cm šířka x hloubka křesla (vnější) 80 cm x 64 cm hloubka sedu 51 cm šířka sedu 52 cm maximální nosnost 130 kg odstín žíhaný výplet;0;0;0;Mahagonové dřevo;2 až 3 týdny;0;;
ratanová sedací souprava ROGER - světlá;Ratanová sedací souprava ROGER v kombinaci dvou jednoduchých ratanových křesel a jednoho ratanového stolku. Součástí ratanových křesel jsou bílé sedáky. Ratanový stolek na třech nohách nabízí úložný prostor, jeho součástí je i skleněná deska čtvercového tvaru. Ratanová sedací souprava ve světlém odstínu je vhodná do menších prostor, například do předsíně či kryté terasy. Skladem poslední kus !;/nabytek_doplnky/nahledy/s002s-roger-ratanova-sedaci-souprava-svetla-obrazek1(8).jpg, /nabytek_doplnky/nahledy/s002sb-roger-ratanove-kreslo-svetle-obrazek1(4).jpg, /nabytek_doplnky/nahledy/s002sa-roger-ratanovy-stolek-svetly-obrazek1.jpg;2565.2;S002S;;ratanové sedací soupravy;šířka křesla 59 cm výška sedu s polstrem 43 cm maximální nosnost 90 kg výška stolku 51 cm rozměry skleněné deky 50 cm x 50 cm odstín světlý med;0;0;0;Ratan;2 až 3 týdny;0;;
ratanová sedací souprava BAHAMA 4+1 - tmavá;Ratanová sedací souprava BAHAMA v kombinaci 4 ratanových křesel a jednoho ratanového stolku se skleněnou deskou a úložným prostorem. Ratanová sedací souprava je povrchově upravena do odstínu tmavý med. U této ratanové sedací soupravy si můžete vybrat z více variant látek na kvalitních polstrech, které jsou pro nás vyráběny v České republice. U látek zvaných KEPR je příplatek 255 Kč (11EUR) za celou ratanovou sedací soupravu. Jednotlivé části ratanové sedací soupravy máte možnost objednat jako produkt souvisejícící. Nákup ratanové sedací soupravy uskutečníte vstupem do sekce VARIANTY a následným vložením vámi vybraného polstrování do nákupního košíku.;/nabytek_doplnky/nahledy/s001t4bahama4120ratanovasedacisoupravatmavaobrazek1.jpg, /nabytek_doplnky/nahledy/s001t4bahama41k101ratanovasedacisoupravatmavaobrazek1.jpg, /nabytek_doplnky/nahledy/s001t4bahama41k178ratanovasedacisoupravatmavaobrazek1.jpg, /nabytek_doplnky/nahledy/s001t4bahama41l11ratanovasedacisoupravatmavaobrazek1.jpg, /nabytek_doplnky/nahledy/S001T4-BAHAMA-41-L15-ratanova-sedaci-souprava-tmava-obrazek1.jpg, /nabytek_doplnky/nahledy/s001t4bahama41l16ratanovasedacisoupravatmavaobrazek1.jpg, /nabytek_doplnky/nahledy/s001t4bahama41l19ratanovasedacisoupravatmavaobrazek1.jpg, /nabytek_doplnky/nahledy/S001T4-BAHAMA-41-L27-ratanova-sedaci-souprava-tmava-obrazek1.jpg, /nabytek_doplnky/nahledy/S001T4-BAHAMA-41-L28-ratanova-sedaci-souprava-tmava-obrazek1.jpg, /nabytek_doplnky/nahledy/S001T4-BAHAMA-41-L17-ratanova-sedaci-souprava-tmava-obrazek1.jpg;4017.2;S001T4;;ratanové sedací soupravy;šířka křesla (vnější) 75 cm výška sedu s polstrem 47 cm výška opěradla 78 cm maximální nosnost 100 kg výška stolku 55 cm průměr skleněné desky stolku 60 cm odstín tmavý med;0;0;0;Ratan;2 až 3 týdny;0;;
sedací souprava BAHAMA 4+1 - tmavá - XL polstr;Ratanová sedací souprava v kombinaci 4 ratanových křesel a jednoho ratanového stolku s úložným prostorem a skleněnou deskou. Odstín ratanové sedací soupravy je tmavý med. Velmi pohodlné sezení vám zajistí polstrování po celém obvodu sedací i opěrné plochy ratanového křesla. U této ratanové sedací soupravy si můžete vybrat z více variant látek na kvalitních polstrech, které jsou pro nás vyráběny v České republice. U látek zvaných KEPR je příplatek 250 Kč (11 EUR) za celou ratanovou sedací soupravu. Jednotlivé části ratanové sedací soupravy můžete objednat jako produkty SOUVISEJÍCÍ. Nákup ratanové sedací soupravy uskutečníte vstupem do sekce VARIANTY a následným vložením vámi vybraného polstrování do nákupního košíku.;/nabytek_doplnky/nahledy/s001txl4bahama41l16ratanovasedacisoupravatmavaobrazek1.jpg, /nabytek_doplnky/nahledy/s001txl4bahama41k101ratanovasedacisoupravatmavaobrazek1.jpg, /nabytek_doplnky/nahledy/s001txl4bahama41k178ratanovasedacisoupravatmavaobrazek1.jpg, /nabytek_doplnky/nahledy/s001txl4bahama41l11ratanovasedacisoupravatmavaobrazek1.jpg, /nabytek_doplnky/nahledy/s001txl4-bahama-4+1-l15-ratanova-sedaci-souprava-tmava-obrazek1.jpg, /nabytek_doplnky/nahledy/s001txl4bahama41l19ratanovasedacisoupravatmavaobrazek1.jpg, /nabytek_doplnky/nahledy/s001txl4bahama41l20ratanovasedacisoupravatmavaobrazek1.jpg, /nabytek_doplnky/nahledy/s001txl4bahama41l27ratanovasedacisoupravatmavaobrazek1.jpg, /nabytek_doplnky/nahledy/s001txl4bahama41l28ratanovasedacisoupravatmavaobrazek1.jpg, /nabytek_doplnky/nahledy/S001TXL4-BAHAMA-41-ratanova-sedaci-souprava-tmava-obrazek1.jpg;4477;S001TXL4;;ratanové sedací soupravy;šířka křesla (vnější) 75 cm výška sedu s polstrem 47 cm výška opěradla 78 cm maximální nosnost 100 kg výška stolku 55 cm průměr skleněné desky stolku 60 cm odstín tmavý med;0;0;0;Ratan;2 až 3 týdny;0;;
ratanová souprava BAHAMA 4+1 - světlá - XL polstr;Ratanová sedací souprava v kombinaci 4 ratanových křesel a jednoho ratanového stolku s úložným prostorem a skleněnou deskou. Odstín ratanové sedací soupravy je světlý med. Velmi pohodlné sezení vám zajistí polstrování po celém obvodu sedací i opěrné plochy ratanového křesla. U této ratanové sedací soupravy si můžete vybrat z více variant látek na kvalitních polstrech, které jsou pro nás vyráběny v České republice. U látek zvaných KEPR je příplatek 250 Kč (11 EUR) za celou ratanovou sedací soupravu. Jednotlivé části ratanové sedací soupravy múžete objednat jako produkty související. Nákup ratanové sedací soupravy uskutečníte vstupem do sekce VARIANTY a následným vložením vámi vybraného polstrování do nákupního košíku.;/nabytek_doplnky/nahledy/s001sxl4bahama41l20ratanovasedacisoupravasvetlaobrazek1.jpg, /nabytek_doplnky/nahledy/s001sxl4bahama41k101ratanovasedacisoupravasvetlaobrazek1.jpg, /nabytek_doplnky/nahledy/s001sxl4-bahama-4+1-k178-ratanova-sedaci-souprava-svetla-obrazek1(2).jpg, /nabytek_doplnky/nahledy/s001sxl4-bahama-4+1-l11-ratanova-sedaci-souprava-svetla-obrazek1.jpg, /nabytek_doplnky/nahledy/s001sxl4bahama41l15ratanovasedacisoupravasvetlaobrazek1.jpg, /nabytek_doplnky/nahledy/s001sxl4bahama41l16ratanovasedacisoupravasvetlaobrazek1.jpg, /nabytek_doplnky/nahledy/s001sxl4bahama41l27ratanovasedacisoupravasvetlaobrazek1.jpg, /nabytek_doplnky/nahledy/s001sxl4-bahama-4+1-l28-ratanova-sedaci-souprava-svetla-obrazek1(1).jpg, /nabytek_doplnky/nahledy/s001sxl4-bahama-4+1-l19-ratanova-sedaci-souprava-svetla-obrazek1(1).jpg, /nabytek_doplnky/nahledy/S001SXL4-BAHAMA-41-L17-ratanova-sedaci-souprava-svetla-obrazek1.jpg;4477;S001SXL4;;ratanové sedací soupravy;šířka křesla (vnější) 75 cm výška sedu s polstrem 47 cm výška opěradla 78 cm maximální nosnost 100 kg výška stolku 55 cm průměr skleněné desky stolku 60 cm odstín světlý med;0;0;0;Ratan;2 až 3 týdny;0;;
ratanová sedací souprava BAHAMA 4+1 - světlá;Ratanová sedací souprava BAHAMA v kombinaci 4 ratanových křesel a jednoho ratanového stolku se skleněnou deskou a úložným prostorem. U této ratanové sedací soupravy si můžete vybrat z více variant látek na kvalitních polstrech, které jsou pro nás vyráběny v České republice. U látek zvaných KEPR je příplatek 255 Kč (11EUR) za celou ratanovou sedací soupravu. řJednotlivé části ratanové sedací soupravy můžete objednat jako produkt související. Nákup ratanové sedací soupravy uskutečníte vstupem do sekce VARIANTY a následným vložením vámi vybraného polstrování do nákupního košíku.;/nabytek_doplnky/nahledy/s001s4-bahama-4+1-l15-ratanova-sedaci-souprava-svetla-obrazek1.jpg, /nabytek_doplnky/nahledy/s001sbahama41k101ratanovasedacisoupravasvetlaobrazek1.jpg, /nabytek_doplnky/nahledy/s001s4-bahama-4+1-k178-ratanova-sedaci-souprava-svetla-obrazek1.jpg, /nabytek_doplnky/nahledy/s001sbahama41l11ratanovasedacisoupravasvetlaobrazek1.jpg, /nabytek_doplnky/nahledy/s001sbahama41l15ratanovasedacisoupravasvetlaobrazek1.jpg, /nabytek_doplnky/nahledy/s001s4-bahama-4+1-l19-ratanova-sedaci-souprava-svetla-obrazek1(1).jpg, /nabytek_doplnky/nahledy/s001sbahama41l20ratanovasedacisoupravasvetlaobrazek1.jpg, /nabytek_doplnky/nahledy/s001sbahama41l27ratanovasedacisoupravasvetlaobrazek1.jpg, /nabytek_doplnky/nahledy/s001s4-bahama-4+1-l28-ratanova-sedaci-souprava-svetla-obrazek1(1).jpg, /nabytek_doplnky/nahledy/S001S4-BAHAMA-41-L17-ratanova-sedaci-souprava-svetla-obrazek1.jpg;4017.2;S001S4;;ratanové sedací soupravy;šířka křesla (vnější) 75 cm výška sedu s polstrem 45 cm výška opěradla 78 cm výška stolku 55 cm průměr skleněné desky stolku 60 cm maximální nosnost 100 kg odstín světlý med;0;0;0;Ratan;2 až 3 týdny;0;;
květináč velký;Exotický květináč do vašeho interieru. Vysoký květináč má stabilní kovovou konstrukci. Obvodové plochy jsou tvořeny výpletem z listů vodního hyacintu. Ke květináči náleží vnitřní zinková vložka. Půdorys květináče je čtvercový, tvar je mírně konický.;/nabytek_doplnky/nahledy/GN00001Db-kvetinac-velky-vodni-hyacint-zinek-obrazek1.jpg, /nabytek_doplnky/nahledy/GN00001Db-kvetinac-velky-vodni-hyacint-kov-obrazek2.jpg;738.1;GN00001Db;;květináče z vodního hyacintu;výška 81 cm délka strany (horní) 36,5 cm šířka strany (vrchní) 36,5 cm ŠxDxV vnitřní výplně 29 cm x 29 cm x 25 cm odstín světlý - přírodní;0;0;0;Kov;2 až 3 týdny;0;;
sedací souprava DIANA - ratan - bananový list;Sedací souprava DIANA je zkonstruována podle našeho návrhu a je zcela originálních tvarů. Konstrukce sedací soupravy je vyrobena z ratanu, povrch sedací soupravy tvoří výplet z banánového listu. Celá sedací souprava je navržena a vyrobena v kruhovém designu. Součástí sedací soupravy je stolek s vyplétanou deskou. Sedací soupravu vám nabízíme v kombinaci dvou křesel a jednoho stolku. Součástí sedací soupravy jsou i kruhové bílé sedáky. Jednotlivé součásti sedací soupravy si můžete objednat jako produkty SOUVISEJÍCÍ.;/nabytek_doplnky/nahledy/S040-DIANA-sedaci-souprava-bananovy-list-ratan-obrazek1.jpg, /nabytek_doplnky/nahledy/S040a-DIANA-stolek-bananovy-list-ratan-obrazek1.jpg, /nabytek_doplnky/nahledy/S040b-DIANA-kreslo-bananovy-list-ratan-obrazek1-1.jpg, /nabytek_doplnky/nahledy/S040b-DIANA-kreslo-bananovy-list-ratan-obrazek2-2.jpg, /nabytek_doplnky/nahledy/S040b-DIANA-kreslo-bananovy-list-ratan-obrazek3-2.jpg;6352.5;S040;;sedací soupravy z vodního hyacintu, mořské trávy a banánového listu;výška stolku 50 cm průměr desky stolku 60 cm hloubka sedu 55 cm celková hloubka křesla 75 cm výška sedu 43 cm celková výška křesla 80 cm šířka sedu 47 cm celková šířka křesla 80 cm maximální nosnost 120 kg odstín přírodní - svazky banánového listu;0;0;0;Ratan;2 až 3 týdny;0;;
ratanová sedací souprava DIANA - světlá;Ratanová sedací souprava DIANA je robustní sedací souprava nádherného designu. Konstrukce ratanové sedací soupravy je vyrobena z ratanu, veškeré plochy jsou poctivě pokryty výpletem z ratanového proutí. Celý design ratanové sedací soupravy doprovází kruhové tvary. jedná se o originál, který byl vyroben pro nás. Ratanový stolek má vyplétanou desku. Ratanová sedací souprava je kombinací dvou ratanových křesel a jednoho ratanového stolku. Součástí ratanových křesel jsou bílé sedáky kruhového tvaru. Jednotlivé části ratanové sedací soupravy můžete objednat jako produkt související.;/nabytek_doplnky/nahledy/s038dianaratanovasedacisoupravaobrazek1.jpg, /nabytek_doplnky/nahledy/s038dianaratanovasedacisoupravadetailobrazek1.jpg, /nabytek_doplnky/nahledy/s038adianaratanovystolekobrazek1.jpg, /nabytek_doplnky/nahledy/s038bdianaratanovekresloobrazek1.jpg, /nabytek_doplnky/nahledy/s038bdianaratanovekresloobrazek2.jpg, /nabytek_doplnky/nahledy/s038bdianaratanovekresloobrazek3.jpg, /nabytek_doplnky/nahledy/s038bdianaratanovekresloobrazek4.jpg;4900.5;S038;;ratanové sedací soupravy;výška křesla - sed ( zadní opěrka ) 45 ( 80 ) cm šířka x hloubka křesla ( vnější,vnitřní) 80 (50) cm x 80 ( 64) cm výška stolku 45 cm průměr desky stolu 65 cm maximální nosnost 120 kg odstín světlý med;0;0;0;Ratan;2 až 3 týdny;0;;
ratanová sedací souprava CARMEN - světlá;Ratanová sedací souprava CARMEN je velmi praktická sedací souprava vhodná do jakéhokoliv prostředi interieru i exterieru. Ratanová sedací souprava je využitelná při různých klimatických podmínkách - vyžaduje minimální údržbu. Ratanovou sedací soupravu nabízíme s výplétáním ve světle hnědém přírodním ostínu. K ratanovým křeslům jsou dodávány bílé sedáky. Ratanový stůl dodáme včetně skleněné desky. Ratanovou sedací soupravu vám dodáme v demontu, s návodem na složení uvnitř. Skladem je několik posledních ratanových sedacích souprav za sníženou cenu.;/nabytek_doplnky/nahledy/DL-Y003-CARMEN-sedaci-souprava-svetla-umely-ratan-kov-obrazek1.jpg, /nabytek_doplnky/nahledy/DL-Y003-CARMEN-sedaci-souprava-svetla-umely-ratan-kov-obrazek2.jpg, /nabytek_doplnky/nahledy/DL-Y003-CARMEN-sedaci-souprava-svetla-detail-umely-ratan-kov-obrazek1.jpg, /nabytek_doplnky/nahledy/DL-Y003-CARMEN-sedaci-souprava-svetla-detail-umely-ratan-kov-obrazek2.jpg, /nabytek_doplnky/nahledy/DL-Y003a-CARMEN-stul-svetly-umely-ratan-kov-obrazek1.jpg, /nabytek_doplnky/nahledy/DL-Y003a-CARMEN-stul-svetly-umely-ratan-kov-obrazek2.jpg, /nabytek_doplnky/nahledy/DL-Y003b-CARMEN-kreslo-svetle-umely-ratan-kov-obrazek1.jpg;7574.6;DL-Y003;;sedaci soupravy a jídelní soupravy z umělého ratanu;hloubka sedu 46 cm výška sedu s polstrem 47 cm hloubka křesla (vnější) 56 cm šířka křesla (vnější) 59 cm výška opěradla 85 cm výška stolu 74 cm rozměry desky stolku 90 cm x 90 cm nosnost 120 kg odstín světlý přírodní;0;0;0;Aluminium;2 až 3 týdny;0;;
ratanová sedací souprava NAOMI;Sedací souprava NAOMI z umělého ratanu v hnědém provedení. Nádherný design soupravy NAOMI je originální. Stabilní konstrukce sedací soupravy je aluminiová.Souprava je určena do interieru i do venkovního prostředí. Zajímavá je skladnost soupravy, kdy po nenáročném poskládání křesel a stolku ,vám vznikne jeden kus prostoru připomínající vázu. Toto složení si prohlédněte v sekci OBRÁZKY.;/nabytek_doplnky/nahledy/dl-r009-naomi-sedaci-souprava-umely-ratan-kov-obrazek3.jpg, /nabytek_doplnky/nahledy/DL-R009-NAOMI-sedaci-souprava-umely-ratan-kov-obrazek2.jpg, /nabytek_doplnky/nahledy/DL-R009a-NAOMI-stolek-umely-ratan-kov-obrazek1.jpg, /nabytek_doplnky/nahledy/dl-r009b-naomi-kreslo-umely-ratan-kov-obrazek3.jpg, /nabytek_doplnky/nahledy/dl-r009b-naomi-kreslo-umely-ratan-kov-obrazek4.jpg, /nabytek_doplnky/nahledy/DL-R009-NAOMI-sedaci-souprava-umely-ratan-kov-detail-obrazek1.jpg;7574.6;ETP-DZ01;;sedaci soupravy a jídelní soupravy z umělého ratanu;šířka křesla (vnější) 65 cm hloubka sedu s polstrem 54 cm výška sedu s polstrem 40 cm výška x hloubka křesla 67 x 65 cm výška stolku 58 cm průměr desky stolu 60 cm maximální nosnost 120 kg výška složené soupravy ve tvaru vázy 166 cm odstín hnědý;0;0;0;Aluminium;na dotaz;0;;
ratanová sedací souprava KERIN - světlá;Ratanová sedací souprava KERIN v odstínu světlý med. Robustní ratanová sedací souprava ve složení dvou ratanových křesel, jedné ratanové pohovky a ratanového stolku s úložným prostorem a skleněnou deskou. Součástí ratanové sedací soupravy jsou pohodlné sedáky bílé barvy. Vysoké zádové opěrky ratanových křesel a ratanové pohovky zaručují velmi pohodlné sezení. Jednotlivé části ratanové sedací soupravy si můžete objednat jako produkt související.;/nabytek_doplnky/nahledy/s023s-kerin-ratanova-sedaci-souprava-svetla-obrazek1.jpg, /nabytek_doplnky/nahledy/s023sb-kerin-ratanove-kreslo-svetle-obrazek1.jpg, /nabytek_doplnky/nahledy/S023Sc-KERIN-ratanova-pohovka-svetla-obrazek1.jpg, /nabytek_doplnky/nahledy/s023sa-kerin-ratanovy-stolek-svetly-obrazek1.jpg;12862.3;S023S;;ratanové sedací soupravy;V x Š x D stolku 49 cm x 50 cm x 90 cm šířka křesla vnitřní 67 cm, vnější 74 cm šířka pohovky vnitřní 121 cm, vnější 127 cm výška sedu s polstrem 44 cm výška opěradla křesla a pohovky 103 cm maximální nosnost 120 kg odstín světlý med;0;0;0;Ratan;2 až 3 týdny;0;;
sedací souprava FARGO - banánový list;Sedací souprava FARGO je velmi robustní a originální sestava dvou křesel a jednoho stolku. Pevná konstrukce sedací soupravy je vyrobena z mahagonového dřeva. Svazky banánového listu zvaného abaca vytvářejí nádherné kruhové vzorce na povrchu sedací soupravy. Povrch sedací soupravy je upraven bezbarvým lakem. Polstrování k sedací soupravě je ve světle hnědém provedení shodném s obrázkem. Jednotlivé části sedací soupravy si můžete objednat jako produkty SOUVISEJÍCÍ.;/nabytek_doplnky/nahledy/s018-v-fargo-sedaci-souprava-maghagon-bananovy-list-obrazek1.jpg.jpg;9486.4;S018;;sedací soupravy z vodního hyacintu, mořské trávy a banánového listu;šířka křesla (vnější) 80 cm hloubka křesla (vnější) 80 cm výška opěradla 70 cm maximální nosnost 130 kg výška stolku 45 cm rozměry desky stolku 120 cm x 60 cm odstín přírodní - kruhové ornamenty;0;0;0;Mahagonové dřevo;2 až 3 týdny;0;;
obal na květináč - vodní hyacint - mořská tráva;Obal na květináč ve velmi krásném provedení kombinace dvou exotických materiálů. Konstrukce obalu na květináč je kovová, obvodové plochy tvoří kombinace výpletů mořské trávy a vodního hyacintu. Oba dva druhy materiálu vytváří nádhernou kostkovou mozaiku. Půdorys obalu na květináče - či koše je kruhový. Obal na květináče máme pro vás ve dvou variantách rozměrů. velikost můžete výhodně koupit jako celek i každý zvlášť. Jednotlivé obaly na květináče si objednáte vložením do nákupního košíku v sekci VARIANTY.;/nabytek_doplnky/nahledy/GN0122Da-NEW-kvetinac-vodni-hyacint-morska-trava-obrazek1.jpg, /nabytek_doplnky/nahledy/GN0122Da-NEW-kvetinac-vodni-hyacint-morska-trava-obrazek1.jpg, /nabytek_doplnky/nahledy/GN0122Da-NEW-kvetinac-maly-vodni-hyacint-morska-trava-kov-obrazek2.jpg;254.1;GN0122D-NEW;;květináče z vodního hyacintu;výška 40 cm, 33 cm průměr (vrchní) 40 cm, 32,5 cm odstín přírodní;0;0;0;Kov;2 až 3 týdny;0;;
skříňka - vodní hyacint;Exotická skříňka velmi praktického jednoduchého provedení v naší nabídce. Skříňka má tři úložné prostory, na vrch skříňky můžete umístit například exotický květináč s dekorací. Dřevěna konstrukce z mahagonu je pokryta výpletem ze svazků vodního hyacintu v přírodním světlém odstínu. Exotickou skříňku doporučujeme kombinovat se skříňkou, která má dva úložné prostory.;/nabytek_doplnky/nahledy/n068-skrinka-3-ulozne-prostory-vodni-hyacint-obrazek1.jpg, /nabytek_doplnky/nahledy/n067-sestava-skrinek-vodni-hyacint-obrazek1(1).jpg, /nabytek_doplnky/nahledy/n067-skrinka-2-ulozne-prostory-vodni-hyacint-detail-obrazek1(1).jpg;1040.6;N068;;komody a prádelníky z ratanu a exotických materiálů;výška 105 cm šířka x hloubka (vnější) 40 cm x 33 cm šířka x hloubka (vnitřní) 28 cm x 28 cm odstín přírodní - hnědý;0;0;0;Mahagonové dřevo;2 až 3 týdny;0;;
skříňka - vodní hyacint;Exotická skříňka velmi praktického jednoduchého provedení v naší nabídce. Skříňka má dva úložné prostory, na vrch skříňky můžete umístit například exotický květináč s dekorací. Dřevěna konstrukce z mahagonu je pokryta výpletem ze svazků vodního hyacintu v přírodním světlém odstínu. Exotickou skříňku doporučujeme kombinovat se skříňkou, která má tři úložné prostory.;/nabytek_doplnky/nahledy/n067-skrinka-2-ulozne-prostory-vodni-hyacint-obrazek1.jpg, /nabytek_doplnky/nahledy/n067-sestava-skrinek-vodni-hyacint-obrazek1.jpg, /nabytek_doplnky/nahledy/n067-skrinka-2-ulozne-prostory-vodni-hyacint-detail-obrazek1.jpg;738.1;N067;;komody a prádelníky z ratanu a exotických materiálů;výška 71 cm šířka x hloubka (vnější) 40 cm x 33 cm šířka x hloubka (vnitřní) 28 cm x 28 cm odstín přírodní - hnědý;0;0;0;Mahagonové dřevo;2 až 3 týdny;0;;
skříňka - mořská tráva;Exotická skříňka velmi praktického jednoduchého provedení v naší nabídce. Skříňka má tři úložné prostory, na vrch skříňky můžete umístit například exotický květináč s dekorací. Dřevěna konstrukce z mahagonu je pokryta výpletem ze svazků mořské trávy v přírodním zeleném odstínu. Exotickou skříňku doporučujeme kombinovat se skříňkou, která má 3 úložné prostory.;/nabytek_doplnky/nahledy/n066-skrinka-3-ulozne-prostory-morska-trava-obrazek1.jpg, /nabytek_doplnky/nahledy/n065-sestava-skrinek-morska-trava--obrazek1(1).jpg, /nabytek_doplnky/nahledy/n065-skrinka-2-ulozne-prostory-morska-trava-detail-obrazek1(1).jpg;738.1;N066;;komody a prádelníky z ratanu a exotických materiálů;výška 105 cm šířka x hloubka (vnější) 40 cm x 33 cm šířka x hloubka (vnitřní) 28 cm x 28 cm odstín přírodní - svazky mořské trávy;0;0;0;;2 až 3 týdny;0;;
skříňka - mořská tráva;Exotická skříňka velmi praktického jednoduchého provedení v naší nabídce. Skříňka má dva úložné prostory, na vrch skříňky můžete umístit například exotický květináč s dekorací. Dřevěna konstrukce z mahagonu je pokryta výpletem ze svazků mořské trávy v přírodním zeleném odstínu. Exotickou skříňku doporučujeme kombinovat se skříňkou, která má 2 úložné prostory.;/nabytek_doplnky/nahledy/n065-skrinka-2-ulozne-prostory-morska-trava-obrazek1.jpg, /nabytek_doplnky/nahledy/n065-sestava-skrinek-morska-trava--obrazek1.jpg, /nabytek_doplnky/nahledy/n065-skrinka-2-ulozne-prostory-morska-trava-detail-obrazek1.jpg;544.5;N065;;komody a prádelníky z ratanu a exotických materiálů;výška 71 cm šířka x hloubka (vnější) 40 cm x 33 cm šířka x hloubka (vnitřní) 28 cm x 28 cm odstín přírodní;0;0;0;Mahagonové dřevo;2 až 3 týdny;0;;
skříňka - banánový list;Skříňka - komoda z banánového listu velmi praktického jednoduchého provedení v naší nabídce. Skříňka má tři úložné prostory, na vrch skříňky můžete umístit například exotický květináč s dekorací. Dřevěna konstrukce z mahagonu je pokryta výpletem ze svazků banánového listu v přírodním žíhaném odstínu. Exotickou skříňku doporučujeme kombinovat se skříňkou, která má 3 úložné prostory.;/nabytek_doplnky/nahledy/n064-skrinka-3-ulozne-prostory-bananovy-list-obrazek2.jpg, /nabytek_doplnky/nahledy/n063-skrinka-2-ulozne-prostory-bananovy-list-obrazek3(1).jpg, /nabytek_doplnky/nahledy/n063-skrinka-2-ulozne-prostory-bananovy-list-detail-obrazek1(2).jpg;1343.1;N064;;komody a prádelníky z ratanu a exotických materiálů;výška 107 cm šířka x hloubka (vnější) 39 cm x 39 cm šířka x hloubka (vnitřní) 30 cm x 36 cm odstín přírodní;0;0;0;Mahagonové dřevo;2 až 3 týdny;0;;
skříňka - banánový list;Skříňka z banánového listu velmi praktického jednoduchého provedení v naší nabídce. Skříňka má dva úložné prostory, na vrch skříňky můžete umístit například exotický květináč s dekorací. Dřevěna konstrukce z mahagonu je pokryta výpletem ze svazků banánového listu v přírodním žíhaném odstínu. Neváhejte s objednávkou.;/nabytek_doplnky/nahledy/n063-skrinka-2-ulozne-prostory-bananovy-list-obrazek2.jpg, /nabytek_doplnky/nahledy/n063-skrinka-2-ulozne-prostory-bananovy-list-obrazek3.jpg;968;N063;;komody a prádelníky z ratanu a exotických materiálů;výška 72 cm šířka x hloubka (vnější) 39 cm x 39 cm šířka x hloubka (vnitřní) 30 cm x 36 cm odstín přírodní;0;0;0;Mahagonové dřevo;2 až 3 týdny;0;;
ratanová pohovka FITSCHI - tmavá;Ratanová pohovka FITSCHI v tmavém provedení. Skladem vám nabízíme ratanovou pohovku v odstínu tmavý med. Velmi pohodlné sezení poskytují sedáky po celém obvodu sedací i opěrné plochy. U této ratanové pohovky si můžete vybrat z více variant látek na kvalitních polstrech, které jsou pro nás vyráběny v České republice. U látek zvaných KEPR je příplatek 100 Kč Nákup ratanové pohovky uskutečníte vstupem do sekce VARIANTY a následným vložením vámi vybraného polstrování do nákupního košíku.;/nabytek_doplnky/nahledy/s005tc-fitschi-l28-ratanova-pohovka-tmava-obrazek1.jpg, /nabytek_doplnky/nahledy/S005Tc-FITSCHI-K101-ratanova-pohovka-tmava-obrazek1-1.jpg, /nabytek_doplnky/nahledy/S005Tc-FITSCHI-K178-ratanova-pohovka-tmava-obrazek1.jpg, /nabytek_doplnky/nahledy/S005Tc-FITSCHI-L11-ratanova-pohovka-tmava-obrazek1.jpg, /nabytek_doplnky/nahledy/S005Tc-FITSCHI-L15-ratanova-pohovka-tmava-obrazek1.jpg, /nabytek_doplnky/nahledy/S005Tc-FITSCHI-L16-ratanova-pohovka-tmava-obrazek1.jpg, /nabytek_doplnky/nahledy/S005Tc-FITSCHI-L17-ratanova-pohovka-tmava-obrazek1.jpg, /nabytek_doplnky/nahledy/S005Tc-FITSCHI-L27-ratanova-pohovka-tmava-obrazek1.jpg, /nabytek_doplnky/nahledy/S005Tc-FITSCHI-L20-ratanova-pohovka-tmava-obrazek1.jpg, /nabytek_doplnky/nahledy/s005tc-fitschi-k5-ratanova-pohovka-tmava-obrazek1.jpg;1694;S005Tc;;ratanová křesla a ratanové pohovky;šířka pohovky (vnější) 120 cm výška sedu s polstrem 47 cm výška opěradla 78 cm maximální nosnost 100 kg (1 osoba) odstín tmavý med;0;0;0;Ratan;2 až 3 týdny;0;;
